#
# Engine name: Capstone Liq Bi-prop
# Tue 24. Feb 12:48:12 2026
#
# Lc= 193.93974 mm	 Rc=  50.69090 mm
# R1=  28.73904 mm	 R2= 103.30778 mm
# bc=  30.00000   	 Rt=  19.15936 mm
# Le=  97.49591 mm	 Re=  42.91742 mm
# Rn=   7.31887 mm
# c1=  19.88775   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	   50.69090
  103.94367	   50.69090
  105.80881	   50.67406
  107.67333	   50.62355
  109.53664	   50.53939
  111.39813	   50.42160
  113.25719	   50.27022
  115.11321	   50.08530
  116.96559	   49.86691
  118.81372	   49.61510
  120.65701	   49.32997
  122.49485	   49.01161
  124.32664	   48.66012
  126.15179	   48.27562
  127.96970	   47.85822
  129.77978	   47.40808
  131.58143	   46.92533
  133.37408	   46.41013
  135.15713	   45.86264
  136.93000	   45.28306
  138.69213	   44.67156
  140.44292	   44.02835
  142.18182	   43.35364
  143.90826	   42.64764
  145.62166	   41.91058
  147.32148	   41.14272
  149.00716	   40.34429
  150.67815	   39.51555
  152.33391	   38.65678
  153.97389	   37.76826
  155.59756	   36.85028
  179.57022	   23.00966
  180.02190	   22.75429
  180.47813	   22.50711
  180.93874	   22.26821
  181.40359	   22.03767
  181.87253	   21.81555
  182.34540	   21.60194
  182.82205	   21.39690
  183.30232	   21.20050
  183.78606	   21.01280
  184.27311	   20.83387
  184.76332	   20.66376
  185.25651	   20.50252
  185.75254	   20.35022
  186.25123	   20.20690
  186.75243	   20.07260
  187.25597	   19.94737
  187.76169	   19.83126
  188.26943	   19.72430
  188.77901	   19.62652
  189.29028	   19.53795
  189.80306	   19.45863
  190.31719	   19.38858
  190.83250	   19.32783
  191.34882	   19.27639
  191.86599	   19.23427
  192.38384	   19.20151
  192.90219	   19.17809
  193.42088	   19.16404
  193.93974	   19.15936
  194.20709	   19.16424
  194.34066	   19.17035
  194.47409	   19.17889
  194.60734	   19.18987
  194.74037	   19.20328
  194.87313	   19.21912
  195.00559	   19.23738
  195.13768	   19.25806
  195.26938	   19.28115
  195.40063	   19.30664
  195.53140	   19.33453
  195.66163	   19.36479
  195.79129	   19.39744
  195.92033	   19.43244
  196.04871	   19.46980
  196.17639	   19.50949
  196.30332	   19.55152
  196.42946	   19.59585
  197.40442	   19.94722
  198.37938	   20.29602
  199.35434	   20.64227
  200.32930	   20.98597
  201.30425	   21.32714
  202.27921	   21.66578
  203.25417	   22.00189
  204.22913	   22.33541
  205.20409	   22.66643
  206.17905	   22.99496
  207.15401	   23.32100
  208.12897	   23.64456
  209.10393	   23.96564
  210.07889	   24.28427
  211.05385	   24.60043
  212.02881	   24.91408
  213.00376	   25.22530
  213.97872	   25.53409
  214.95368	   25.84045
  215.92864	   26.14440
  216.90360	   26.44593
  217.87856	   26.74507
  218.85352	   27.04182
  219.82848	   27.33618
  220.80344	   27.62813
  221.77840	   27.91770
  222.75336	   28.20490
  223.72832	   28.48975
  224.70327	   28.77225
  225.67823	   29.05241
  226.65319	   29.33025
  227.62815	   29.60575
  228.60311	   29.87895
  229.57807	   30.14983
  230.55303	   30.41841
  231.52799	   30.68469
  232.50295	   30.94868
  233.47791	   31.21037
  234.45287	   31.46978
  235.42782	   31.72692
  236.40278	   31.98180
  237.37774	   32.23444
  238.35270	   32.48483
  239.32766	   32.73298
  240.30262	   32.97890
  241.27758	   33.22259
  242.25254	   33.46408
  243.22750	   33.70335
  244.20246	   33.94041
  245.17742	   34.17529
  246.15238	   34.40797
  247.12733	   34.63847
  248.10229	   34.86679
  249.07725	   35.09295
  250.05221	   35.31694
  251.02717	   35.53877
  252.00213	   35.75846
  252.97709	   35.97600
  253.95205	   36.19141
  254.92701	   36.40469
  255.90197	   36.61584
  256.87693	   36.82488
  257.85188	   37.03181
  258.82684	   37.23663
  259.80180	   37.43936
  260.77676	   37.63999
  261.75172	   37.83854
  262.72668	   38.03501
  263.70164	   38.22941
  264.67660	   38.42175
  265.65156	   38.61202
  266.62652	   38.80024
  267.60148	   38.98641
  268.57644	   39.17055
  269.55139	   39.35264
  270.52635	   39.53271
  271.50131	   39.71076
  272.47627	   39.88679
  273.45123	   40.06080
  274.42619	   40.23282
  275.40115	   40.40283
  276.37611	   40.57085
  277.35107	   40.73689
  278.32603	   40.90094
  279.30099	   41.06302
  280.27595	   41.22313
  281.25090	   41.38128
  282.22586	   41.53747
  283.20082	   41.69171
  284.17578	   41.84400
  285.15074	   41.99435
  286.12570	   42.14277
  287.10066	   42.28926
  288.07562	   42.43382
  289.05058	   42.57647
  290.02554	   42.71721
  291.00050	   42.85604
  291.43565	   42.91742
