#
# Engine name: Capstone Liq Bi-prop
# Fri 17. Apr 18:25:23 2026
#
# Lc= 148.07255 mm	 Rc=  46.54431 mm
# R1=  26.38814 mm	 R2=  94.85706 mm
# bc=  30.00000   	 Rt=  17.59209 mm
# Le=  96.22198 mm	 Re=  41.62157 mm
# Rn=   6.72018 mm
# c1=  20.78605   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	   46.54431
   65.43830	   46.54431
   67.15086	   46.52885
   68.86287	   46.48247
   70.57376	   46.40519
   72.28297	   46.29704
   73.98996	   46.15804
   75.69415	   45.98825
   77.39500	   45.78772
   79.09196	   45.55651
   80.78446	   45.29471
   82.47197	   45.00239
   84.15391	   44.67965
   85.82976	   44.32660
   87.49896	   43.94335
   89.16097	   43.53003
   90.81525	   43.08677
   92.46125	   42.61371
   94.09845	   42.11101
   95.72630	   41.57884
   97.34428	   41.01736
   98.95186	   40.42677
  100.54852	   39.80725
  102.13372	   39.15900
  103.70697	   38.48224
  105.26774	   37.77718
  106.81553	   37.04406
  108.34983	   36.28312
  109.87015	   35.49460
  111.37597	   34.67876
  112.86683	   33.83587
  134.87848	   21.12743
  135.29322	   20.89295
  135.71213	   20.66599
  136.13506	   20.44664
  136.56188	   20.23495
  136.99246	   20.03101
  137.42665	   19.83487
  137.86431	   19.64660
  138.30530	   19.46627
  138.74947	   19.29392
  139.19668	   19.12963
  139.64678	   18.97343
  140.09963	   18.82539
  140.55508	   18.68554
  141.01298	   18.55394
  141.47318	   18.43063
  141.93553	   18.31565
  142.39988	   18.20903
  142.86609	   18.11082
  143.33398	   18.02104
  143.80343	   17.93972
  144.27426	   17.86689
  144.74634	   17.80257
  145.21949	   17.74678
  145.69358	   17.69955
  146.16845	   17.66088
  146.64393	   17.63079
  147.11988	   17.60930
  147.59614	   17.59640
  148.07255	   17.59209
  148.31630	   17.59652
  148.43807	   17.60204
  148.55972	   17.60978
  148.68121	   17.61971
  148.80251	   17.63186
  148.92356	   17.64619
  149.04433	   17.66273
  149.16478	   17.68145
  149.28487	   17.70235
  149.40456	   17.72543
  149.52382	   17.75067
  149.64260	   17.77807
  149.76086	   17.80763
  149.87856	   17.83932
  149.99567	   17.87314
  150.11215	   17.90908
  150.22796	   17.94713
  150.34306	   17.98727
  150.45741	   18.02950
  151.41963	   18.39323
  152.38185	   18.75406
  153.34407	   19.11200
  154.30629	   19.46707
  155.26851	   19.81928
  156.23073	   20.16857
  157.19295	   20.51499
  158.15517	   20.85860
  159.11739	   21.19941
  160.07960	   21.53742
  161.04182	   21.87266
  162.00404	   22.20505
  162.96626	   22.53467
  163.92848	   22.86156
  164.89070	   23.18572
  165.85292	   23.50717
  166.81514	   23.82592
  167.77736	   24.14198
  168.73958	   24.45529
  169.70180	   24.76594
  170.66402	   25.07393
  171.62624	   25.37929
  172.58846	   25.68203
  173.55068	   25.98215
  174.51290	   26.27967
  175.47512	   26.57460
  176.43734	   26.86691
  177.39956	   27.15663
  178.36178	   27.44380
  179.32400	   27.72843
  180.28622	   28.01053
  181.24844	   28.29011
  182.21066	   28.56719
  183.17288	   28.84176
  184.13510	   29.11385
  185.09732	   29.38347
  186.05954	   29.65062
  187.02176	   29.91531
  187.98398	   30.17753
  188.94620	   30.43732
  189.90842	   30.69470
  190.87064	   30.94966
  191.83286	   31.20223
  192.79508	   31.45241
  193.75730	   31.70022
  194.71952	   31.94566
  195.68174	   32.18874
  196.64396	   32.42948
  197.60618	   32.66788
  198.56840	   32.90396
  199.53062	   33.13772
  200.49284	   33.36918
  201.45506	   33.59834
  202.41728	   33.82522
  203.37950	   34.04983
  204.34172	   34.27216
  205.30394	   34.49225
  206.26615	   34.71008
  207.22837	   34.92568
  208.19059	   35.13906
  209.15281	   35.35021
  210.11503	   35.55916
  211.07725	   35.76591
  212.03947	   35.97048
  213.00169	   36.17286
  213.96391	   36.37307
  214.92613	   36.57112
  215.88835	   36.76702
  216.85057	   36.96078
  217.81279	   37.15240
  218.77501	   37.34189
  219.73723	   37.52928
  220.69945	   37.71455
  221.66167	   37.89773
  222.62389	   38.07881
  223.58611	   38.25782
  224.54833	   38.43475
  225.51055	   38.60962
  226.47277	   38.78244
  227.43499	   38.95321
  228.39721	   39.12194
  229.35943	   39.28865
  230.32165	   39.45333
  231.28387	   39.61600
  232.24609	   39.77665
  233.20831	   39.93529
  234.17053	   40.09193
  235.13275	   40.24660
  236.09497	   40.39929
  237.05719	   40.55002
  238.01941	   40.69879
  238.98163	   40.84561
  239.94385	   40.99050
  240.90607	   41.13345
  241.86829	   41.27448
  242.83051	   41.41359
  243.79273	   41.55079
  244.29453	   41.62157
