#
# Engine name: SLINKY
# Sat 18. Apr 12:21:42 2026
#
# Lc= 153.47450 mm	 Rc=  44.96987 mm
# R1=  26.39710 mm	 R2=  88.95439 mm
# bc=  30.00000   	 Rt=  17.59807 mm
# Le=  96.22734 mm	 Re=  41.62659 mm
# Rn=   6.72246 mm
# c1=  20.78250   	 c2=   8.00000   
#
#--------------------------
#     x, mm	      r, mm
#--------------------------
    0.00000	   44.96987
   75.15681	   44.96987
   76.76281	   44.95537
   78.36828	   44.91188
   79.97271	   44.83941
   81.57556	   44.73798
   83.17633	   44.60764
   84.77448	   44.44841
   86.36949	   44.26036
   87.96085	   44.04354
   89.54803	   43.79803
   91.13053	   43.52390
   92.70781	   43.22124
   94.27938	   42.89016
   95.84471	   42.53076
   97.40330	   42.14316
   98.95463	   41.72748
  100.49821	   41.28386
  102.03353	   40.81244
  103.56009	   40.31339
  105.07738	   39.78685
  106.58493	   39.23300
  108.08223	   38.65203
  109.56879	   38.04412
  111.04414	   37.40947
  112.50779	   36.74829
  113.95927	   36.06079
  115.39809	   35.34720
  116.82380	   34.60775
  118.23593	   33.84268
  119.63401	   33.05224
  140.27594	   21.13461
  140.69082	   20.90005
  141.10987	   20.67301
  141.53295	   20.45358
  141.95992	   20.24182
  142.39064	   20.03781
  142.82498	   19.84160
  143.26278	   19.65327
  143.70392	   19.47288
  144.14824	   19.30047
  144.59560	   19.13612
  145.04586	   18.97987
  145.49886	   18.83178
  145.95447	   18.69189
  146.41252	   18.56024
  146.87288	   18.43689
  147.33539	   18.32187
  147.79990	   18.21522
  148.26626	   18.11697
  148.73432	   18.02716
  149.20392	   17.94581
  149.67492	   17.87295
  150.14715	   17.80861
  150.62047	   17.75281
  151.09472	   17.70556
  151.56974	   17.66688
  152.04539	   17.63678
  152.52150	   17.61528
  152.99792	   17.60237
  153.47450	   17.59807
  153.71828	   17.60249
  153.84007	   17.60802
  153.96175	   17.61575
  154.08326	   17.62569
  154.20457	   17.63783
  154.32564	   17.65217
  154.44643	   17.66870
  154.56691	   17.68742
  154.68702	   17.70832
  154.80673	   17.73140
  154.92601	   17.75664
  155.04481	   17.78405
  155.16309	   17.81360
  155.28082	   17.84529
  155.39795	   17.87912
  155.51445	   17.91506
  155.63028	   17.95310
  155.74540	   17.99325
  155.85977	   18.03547
  156.82204	   18.39915
  157.78432	   18.75994
  158.74659	   19.11784
  159.70886	   19.47286
  160.67114	   19.82503
  161.63341	   20.17428
  162.59568	   20.52067
  163.55796	   20.86424
  164.52023	   21.20500
  165.48250	   21.54298
  166.44478	   21.87818
  167.40705	   22.21054
  168.36932	   22.54014
  169.33160	   22.86699
  170.29387	   23.19113
  171.25614	   23.51255
  172.21842	   23.83127
  173.18069	   24.14730
  174.14296	   24.46058
  175.10524	   24.77120
  176.06751	   25.07918
  177.02978	   25.38451
  177.99206	   25.68723
  178.95433	   25.98732
  179.91660	   26.28482
  180.87888	   26.57973
  181.84115	   26.87203
  182.80342	   27.16173
  183.76570	   27.44889
  184.72797	   27.73350
  185.69024	   28.01558
  186.65252	   28.29515
  187.61479	   28.57221
  188.57707	   28.84677
  189.53934	   29.11885
  190.50161	   29.38846
  191.46389	   29.65560
  192.42616	   29.92028
  193.38843	   30.18249
  194.35071	   30.44227
  195.31298	   30.69964
  196.27525	   30.95459
  197.23753	   31.20715
  198.19980	   31.45733
  199.16207	   31.70513
  200.12435	   31.95056
  201.08662	   32.19364
  202.04889	   32.43437
  203.01117	   32.67277
  203.97344	   32.90884
  204.93571	   33.14261
  205.89799	   33.37406
  206.86026	   33.60322
  207.82253	   33.83010
  208.78481	   34.05470
  209.74708	   34.27704
  210.70935	   34.49712
  211.67163	   34.71496
  212.63390	   34.93056
  213.59617	   35.14393
  214.55845	   35.35509
  215.52072	   35.56404
  216.48299	   35.77079
  217.44527	   35.97535
  218.40754	   36.17774
  219.36981	   36.37795
  220.33209	   36.57601
  221.29436	   36.77191
  222.25663	   36.96567
  223.21891	   37.15729
  224.18118	   37.34679
  225.14346	   37.53418
  226.10573	   37.71946
  227.06800	   37.90264
  228.03028	   38.08373
  228.99255	   38.26274
  229.95482	   38.43968
  230.91710	   38.61456
  231.87937	   38.78738
  232.84164	   38.95815
  233.80392	   39.12689
  234.76619	   39.29360
  235.72846	   39.45829
  236.69074	   39.62096
  237.65301	   39.78162
  238.61528	   39.94027
  239.57756	   40.09692
  240.53983	   40.25159
  241.50210	   40.40429
  242.46438	   40.55502
  243.42665	   40.70380
  244.38892	   40.85063
  245.35120	   40.99552
  246.31347	   41.13848
  247.27574	   41.27952
  248.23802	   41.41863
  249.20029	   41.55584
  249.70184	   41.62659
