a1_mm,a_min_mm,a2_mm,H1_mm,H_min_mm,H2_mm,N,web_mm,max_Twg_K,max_Tc_K,Tc_out_K,delta_P_MPa
1.5,1.0,2.0,1.5,1.0,2.0,60,0.8432228579094102,956.5971968169582,495.39538532653216,495.39538532653216,0.2960373174717948
1.5,1.0,2.0,2.0,1.0,2.0,60,0.8432228579094102,956.8717647074217,495.2374295914882,495.2374295914882,0.23810315452801809
1.5,1.0,2.0,2.5,1.0,2.0,60,0.8432228579094102,957.352503683308,495.20418144995637,495.20418144995637,0.20652337367800436
2.0,1.0,2.0,1.5,1.0,2.0,60,0.8432228579094102,957.3738882976212,494.81354041200757,494.81354041200757,0.23721387259832957
2.0,1.0,2.0,2.0,1.0,2.0,60,0.8432228579094102,957.8623463229507,494.8449326696788,494.8449326696788,0.20096293143937924
2.0,1.0,2.0,2.5,1.0,2.0,60,0.8432228579094102,958.3466342066174,494.32452443859626,494.32452443859626,0.17936297986899596
2.5,1.0,2.0,1.5,1.0,2.0,60,0.8432228579094102,958.3557269618655,494.3879318851073,494.3879318851073,0.20549347432206386
2.5,1.0,2.0,2.0,1.0,2.0,60,0.8432228579094102,959.0775287125057,493.9425135842402,493.9425135842402,0.17912631310062482
2.5,1.0,2.0,2.5,1.0,2.0,60,0.8432228579094102,959.8068112700352,493.77191391319,493.77191391319,0.16328679798884319
1.5,1.0,2.0,1.5,1.0,2.0,50,1.2118674294912926,967.2340395023286,494.82746214039685,494.82746214039685,0.41579388191523964
1.5,1.0,2.0,2.0,1.0,2.0,50,1.2118674294912926,967.4757578902362,494.9482885028364,494.9482885028364,0.3319850213714689
1.5,1.0,2.0,2.5,1.0,2.0,50,1.2118674294912926,967.9491032050347,494.6376620888732,494.6376620888732,0.2861918799379999
2.0,1.0,2.0,1.5,1.0,2.0,50,1.2118674294912926,967.9853150567257,494.4998789367918,494.4998789367918,0.3306507663196577
2.0,1.0,2.0,2.0,1.0,2.0,50,1.2118674294912926,968.4695909028857,493.8818290055013,493.8818290055013,0.27769094733260197
2.0,1.0,2.0,2.5,1.0,2.0,50,1.2118674294912926,968.9495530300637,493.8454324515392,493.8454324515392,0.24804990663751866
2.5,1.0,2.0,1.5,1.0,2.0,50,1.2118674294912926,968.9731946739118,493.7895701137627,493.7895701137627,0.2846794568271432
2.5,1.0,2.0,2.0,1.0,2.0,50,1.2118674294912926,969.6657483788825,493.4475524307713,493.4475524307713,0.24770276894835755
2.5,1.0,2.0,2.5,1.0,2.0,50,1.2118674294912926,970.3881337276234,492.9680299455143,492.9680299455143,0.2254266024396848
1.5,1.0,2.0,1.5,1.0,2.0,40,1.7648342868641156,981.6109077656147,493.97343730690363,493.97343730690363,0.6409602781752455
1.5,1.0,2.0,2.0,1.0,2.0,40,1.7648342868641156,981.8480501524234,493.788312636308,493.788312636308,0.49933473165801634
1.5,1.0,2.0,2.5,1.0,2.0,40,1.7648342868641156,982.2908814696333,493.7452418848544,493.7452418848544,0.4284273466423359
2.0,1.0,2.0,1.5,1.0,2.0,40,1.7648342868641156,982.3450553094902,493.3113910766431,493.3113910766431,0.497117975643252
2.0,1.0,2.0,2.0,1.0,2.0,40,1.7648342868641156,982.8316997458467,492.98456192599565,492.98456192599565,0.4150431960468986
2.0,1.0,2.0,2.5,1.0,2.0,40,1.7648342868641156,983.3138618246433,492.7048682783459,492.7048682783459,0.36928720438517865
2.5,1.0,2.0,1.5,1.0,2.0,40,1.7648342868641156,983.3551401709587,492.838247384652,492.838247384652,0.4259296937926658
2.5,1.0,2.0,2.0,1.0,2.0,40,1.7648342868641156,984.0366056882631,492.2857048142257,492.2857048142257,0.3687271017159084
