SLINKY

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    44.1900	     0.0000	     0.0000	   621.6119	   621.6119	   462.8400	   462.8400	   458.7300	   430.2600	     3.9410	    21.5300	   425.1100	 regenerative cooling, opposite flow; film coolant injection	 
    4.9800	    44.1900	     0.0000	     0.0000	   842.3475	   842.3475	   473.5300	   473.5300	   468.4200	   429.8400	     3.9470	    21.1900	   431.7700	 regenerative cooling, opposite flow	 
    9.9500	    44.1900	     0.3996	  1138.6640	   785.1005	  1923.7645	   526.4800	   526.4800	   517.1900	   429.0400	     3.9530	    20.6300	   443.6400	 regenerative cooling, opposite flow	 
   14.9300	    44.1900	     0.4974	  1409.7546	   831.4093	  2241.1639	   541.3400	   541.3400	   530.5600	   427.8600	     3.9590	    19.8500	   460.9500	 regenerative cooling, opposite flow	 
   19.9100	    44.1900	     0.6050	  1707.9421	   784.3859	  2492.3281	   552.6600	   552.6600	   540.7000	   426.5200	     3.9650	    19.0500	   480.3000	 regenerative cooling, opposite flow	 
   24.8800	    44.1900	     1.0120	  2805.2644	   732.6811	  3537.9456	   603.5600	   603.5600	   586.7700	   424.8400	     3.9700	    18.1400	   504.4500	 regenerative cooling, opposite flow	 
   29.8600	    44.1900	     1.1529	  3178.2493	   709.1501	  3887.3994	   618.7900	   618.7900	   600.3800	   422.7800	     3.9750	    17.1500	   533.5300	 regenerative cooling, opposite flow	 
   34.8400	    44.1900	     1.1835	  3261.0420	   705.0289	  3966.0710	   620.1300	   620.1300	   601.3500	   420.6500	     3.9810	    16.2300	   563.6800	 regenerative cooling, opposite flow	 
   39.8100	    44.1900	     1.1883	  3276.7359	   704.3045	  3981.0405	   618.1800	   618.1800	   599.3100	   418.5100	     3.9860	    15.4100	   593.6400	 regenerative cooling, opposite flow	 
   44.7900	    44.1900	     1.1901	  3284.4669	   705.1350	  3989.6018	   615.8300	   615.8300	   596.9100	   416.3900	     3.9900	    14.6800	   623.1800	 regenerative cooling, opposite flow	 
   49.7700	    44.1900	     1.1917	  3291.6872	   704.8485	  3996.5357	   613.4200	   613.4200	   594.4100	   414.3000	     3.9950	    14.0300	   652.1800	 regenerative cooling, opposite flow	 
   54.7400	    44.1900	     1.1925	  3295.4809	   705.7974	  4001.2782	   612.0400	   612.0400	   592.8500	   412.2200	     3.9990	    13.6300	   671.1300	 regenerative cooling, opposite flow	 
   59.7200	    44.1900	     1.1925	  3295.5595	   705.2496	  4000.8091	   612.0200	   612.0200	   592.8400	   410.1500	     4.0040	    13.5800	   673.8200	 regenerative cooling, opposite flow	 
   64.7000	    44.1900	     1.1925	  3295.6496	   705.2235	  4000.8731	   612.0000	   612.0000	   592.8300	   408.0600	     4.0080	    13.5300	   676.5200	 regenerative cooling, opposite flow	 
   69.6700	    44.1900	     1.1925	  3295.7715	   705.9728	  4001.7443	   611.9800	   611.9800	   592.8200	   405.9600	     4.0130	    13.4700	   679.2300	 regenerative cooling, opposite flow	 
   74.6500	    44.1900	     1.1926	  3295.9807	   705.2029	  4001.1836	   611.8900	   611.8900	   592.7100	   403.8500	     4.0170	    13.4200	   681.9600	 regenerative cooling, opposite flow	 
   79.6300	    44.1900	     1.1927	  3296.2925	   705.8572	  4002.1497	   611.8100	   611.8100	   592.6500	   401.7300	     4.0220	    13.3600	   684.7100	 regenerative cooling, opposite flow	 
   79.6300	    44.1900	     1.1926	  3296.2814	   705.9081	  4002.1896	   611.8100	   611.8100	   592.6500	   401.7300	     4.0220	    13.3600	   684.7000	 regenerative cooling, opposite flow	 
   82.9700	    44.1300	     1.1958	  3304.9081	   706.2181	  4011.1262	   611.8100	   611.8100	   592.6000	   400.3000	     4.0250	    13.3500	   686.5500	 regenerative cooling, opposite flow	 
   86.3100	    43.9400	     1.2053	  3331.0613	   705.4727	  4036.5340	   611.8600	   611.8600	   592.5400	   398.8600	     4.0280	    13.3800	   688.4100	 regenerative cooling, opposite flow	 
   89.6500	    43.6100	     1.2213	  3375.1536	   704.7173	  4079.8709	   612.0300	   612.0300	   592.5100	   397.4000	     4.0310	    13.4500	   690.2900	 regenerative cooling, opposite flow	 
   92.9900	    43.1600	     1.2443	  3438.2124	   706.2802	  4144.4926	   612.4300	   612.4300	   592.6200	   395.9300	     4.0340	    13.5700	   692.2000	 regenerative cooling, opposite flow	 
   96.3300	    42.5700	     1.2751	  3522.6915	   706.0531	  4228.7446	   612.9100	   612.9100	   592.7000	   394.4300	     4.0370	    13.7300	   694.1300	 regenerative cooling, opposite flow	 
   99.6700	    41.8400	     1.3147	  3631.1007	   704.3776	  4335.4784	   613.5400	   613.5400	   592.8200	   392.9100	     4.0410	    13.9500	   696.0900	 regenerative cooling, opposite flow	 
  103.0100	    40.9800	     1.3641	  3766.0351	   701.7277	  4467.7629	   614.7400	   614.7400	   593.4100	   391.3500	     4.0440	    14.2300	   697.8900	 regenerative cooling, opposite flow	 
  106.3500	    39.9700	     1.4256	  3933.7624	   703.6654	  4637.4278	   616.1300	   616.1300	   594.0000	   389.7500	     4.0480	    14.5700	   699.7200	 regenerative cooling, opposite flow	 
  109.6900	    38.8100	     1.5014	  4139.5256	   702.3132	  4841.8388	   618.2400	   618.2400	   595.1600	   388.1100	     4.0530	    14.9900	   701.6100	 regenerative cooling, opposite flow	 
  113.0300	    37.4900	     1.5951	  4393.5971	   702.8940	  5096.4911	   620.9000	   620.9000	   596.6500	   386.4000	     4.0570	    15.4900	   703.5800	 regenerative cooling, opposite flow	 
  116.3700	    36.0100	     1.7120	  4710.1198	   696.8420	  5406.9618	   623.9600	   623.9600	   598.2600	   384.6200	     4.0630	    16.0900	   705.6400	 regenerative cooling, opposite flow	 
  119.7100	    34.3600	     1.8587	  5105.7550	   697.9811	  5803.7361	   628.1000	   628.1000	   600.5900	   382.7400	     4.0690	    16.8000	   707.8000	 regenerative cooling, opposite flow	 
  123.0500	    32.5200	     2.0457	  5608.2909	   699.4289	  6307.7198	   633.4000	   633.4000	   603.5400	   380.7600	     4.0760	    17.6600	   710.0800	 regenerative cooling, opposite flow	 
  126.3900	    30.5900	     2.2751	  6222.1813	   693.2956	  6915.4769	   639.6400	   639.6400	   606.9400	   378.6700	     4.0840	    18.6300	   712.4900	 regenerative cooling, opposite flow	 
  129.7300	    28.6600	     2.5466	  6944.6912	   687.2600	  7631.9513	   647.0400	   647.0400	   611.0200	   376.4900	     4.0930	    19.6900	   715.0000	 regenerative cooling, opposite flow	 
  133.0700	    26.7300	     2.8709	  7801.6926	   683.4651	  8485.1577	   655.9300	   655.9300	   615.9200	   374.2200	     4.1040	    20.8500	   717.6300	 regenerative cooling, opposite flow	 
  136.4100	    24.8000	     3.2626	  8827.6182	   672.9788	  9500.5971	   666.7700	   666.7700	   622.0200	   371.8300	     4.1160	    22.1100	   720.2600	 regenerative cooling, opposite flow	 
  139.7500	    22.8700	     3.7420	 10069.4080	   654.0880	 10723.4960	   679.9800	   679.9800	   629.5200	   369.3200	     4.1310	    23.5000	   722.8900	 regenerative cooling, opposite flow	 
  143.0900	    20.9500	     4.3379	 11593.5453	   625.1148	 12218.6602	   695.5700	   695.5700	   638.1300	   366.6800	     4.1480	    25.0200	   725.6600	 regenerative cooling, opposite flow	 
  146.4300	    19.3400	     4.9521	 13139.2595	   579.2561	 13718.5157	   710.6500	   710.6500	   646.2200	   364.0000	     4.1670	    26.4000	   728.4600	 regenerative cooling, opposite flow	 
