SLINKY

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    44.9700	     0.0000	     0.0000	   577.6706	   577.6706	   430.9600	   430.9600	   426.8800	   401.2800	     4.1860	    15.0200	   685.6000	 regenerative cooling, opposite flow; film coolant injection	 
    4.7000	    44.9700	     0.0000	     0.0000	   782.8262	   782.8262	   440.7200	   440.7200	   435.7200	   400.9700	     4.1910	    15.0100	   686.0000	 regenerative cooling, opposite flow	 
    9.3900	    44.9700	     0.5074	  1388.2371	   715.7374	  2103.9745	   504.2000	   504.2000	   494.0000	   400.3200	     4.1960	    14.9900	   686.8600	 regenerative cooling, opposite flow	 
   14.0900	    44.9700	     0.6035	  1642.5866	   767.4546	  2410.0412	   518.7700	   518.7700	   507.1400	   399.2900	     4.2010	    14.9600	   688.1900	 regenerative cooling, opposite flow	 
   18.7900	    44.9700	     0.6475	  1759.7185	   736.0412	  2495.7597	   522.5400	   522.5400	   510.4500	   398.1700	     4.2070	    14.9300	   689.6400	 regenerative cooling, opposite flow	 
   23.4900	    44.9700	     0.8037	  2170.1850	   692.3856	  2862.5705	   540.2700	   540.2700	   526.4700	   396.9400	     4.2120	    14.9000	   691.2300	 regenerative cooling, opposite flow	 
   28.1800	    44.9700	     0.9935	  2659.9915	   665.4034	  3325.3949	   562.9700	   562.9700	   546.9900	   395.5100	     4.2170	    14.8600	   693.0600	 regenerative cooling, opposite flow	 
   32.8800	    44.9700	     1.0430	  2786.8283	   659.1939	  3446.0222	   568.5700	   568.5700	   552.0500	   393.9500	     4.2220	    14.8200	   695.0800	 regenerative cooling, opposite flow	 
   37.5800	    44.9700	     1.0505	  2805.9705	   658.0666	  3464.0371	   569.2200	   569.2200	   552.5900	   392.3400	     4.2270	    14.7700	   697.0600	 regenerative cooling, opposite flow	 
   42.2800	    44.9700	     1.0511	  2807.7199	   658.0959	  3465.8158	   569.2200	   569.2200	   552.6000	   390.7300	     4.2330	    14.7300	   698.9200	 regenerative cooling, opposite flow	 
   46.9700	    44.9700	     1.0513	  2808.5609	   658.0752	  3466.6361	   568.9600	   568.9600	   552.3100	   389.1100	     4.2380	    14.7000	   700.7800	 regenerative cooling, opposite flow	 
   51.6700	    44.9700	     1.0513	  2808.3970	   658.0372	  3466.4342	   569.0200	   569.0200	   552.3800	   387.4800	     4.2430	    14.6600	   702.6500	 regenerative cooling, opposite flow	 
   56.3700	    44.9700	     1.0512	  2808.1925	   657.4904	  3465.6828	   569.0700	   569.0700	   552.4200	   385.8500	     4.2480	    14.6200	   704.5300	 regenerative cooling, opposite flow	 
   61.0600	    44.9700	     1.0512	  2808.0924	   657.9899	  3466.0823	   569.1200	   569.1200	   552.4900	   384.2000	     4.2540	    14.5800	   706.4300	 regenerative cooling, opposite flow	 
   65.7600	    44.9700	     1.0512	  2808.0607	   657.5591	  3465.6198	   569.1300	   569.1300	   552.5000	   382.5400	     4.2590	    14.5400	   708.3400	 regenerative cooling, opposite flow	 
   70.4600	    44.9700	     1.0512	  2807.9931	   657.8969	  3465.8900	   569.1600	   569.1600	   552.5400	   380.8600	     4.2640	    14.5000	   710.2600	 regenerative cooling, opposite flow	 
   75.1600	    44.9700	     1.0512	  2808.0017	   657.4494	  3465.4511	   569.1500	   569.1500	   552.5300	   379.1800	     4.2700	    14.4600	   712.2100	 regenerative cooling, opposite flow	 
   78.4400	    44.9100	     1.0535	  2813.9282	   661.0045	  3474.9327	   569.4400	   569.4400	   552.7900	   377.9900	     4.2730	    14.4300	   713.5700	 regenerative cooling, opposite flow	 
   81.7200	    44.7300	     1.0610	  2833.7298	   658.1101	  3491.8400	   569.6900	   569.6900	   552.9600	   376.8000	     4.2770	    14.4000	   714.9400	 regenerative cooling, opposite flow	 
   85.0000	    44.4200	     1.0735	  2866.1630	   659.9577	  3526.1207	   570.4300	   570.4300	   553.5500	   375.5900	     4.2810	    14.3800	   716.3300	 regenerative cooling, opposite flow	 
   88.2800	    44.0000	     1.0917	  2913.8314	   656.1141	  3569.9455	   571.2000	   571.2000	   554.1100	   374.3700	     4.2850	    14.3500	   717.7300	 regenerative cooling, opposite flow	 
   91.5600	    43.4400	     1.1155	  2975.9548	   658.2680	  3634.2228	   572.5700	   572.5700	   555.1700	   373.1300	     4.2890	    14.3200	   719.1600	 regenerative cooling, opposite flow	 
   94.8400	    42.7700	     1.1459	  3054.7731	   657.1520	  3711.9252	   574.4600	   574.4600	   556.6900	   371.8700	     4.2920	    14.2900	   720.4900	 regenerative cooling, opposite flow	 
   98.1200	    41.9600	     1.1837	  3152.7067	   659.4378	  3812.1446	   576.9200	   576.9200	   558.7200	   370.5800	     4.2960	    14.2700	   721.8300	 regenerative cooling, opposite flow	 
  101.4000	    41.0100	     1.2306	  3274.1892	   656.3813	  3930.5705	   579.6200	   579.6200	   560.8900	   369.2600	     4.3000	    14.2400	   723.2000	 regenerative cooling, opposite flow	 
  104.6800	    39.9300	     1.2880	  3422.6421	   652.2342	  4074.8763	   582.8500	   582.8500	   563.4400	   367.9100	     4.3040	    14.2100	   724.6100	 regenerative cooling, opposite flow	 
  107.9600	    38.7000	     1.3579	  3602.7856	   654.1465	  4256.9320	   587.0000	   587.0000	   566.7600	   366.5100	     4.3080	    14.1800	   726.0600	 regenerative cooling, opposite flow	 
  111.2400	    37.3200	     1.4439	  3823.8498	   651.2560	  4475.1058	   591.7700	   591.7700	   570.5200	   365.0600	     4.3130	    14.1500	   727.5700	 regenerative cooling, opposite flow	 
  114.5200	    35.7900	     1.5502	  4096.2862	   647.1956	  4743.4818	   597.4900	   597.4900	   575.0100	   363.5600	     4.3170	    14.1200	   729.1400	 regenerative cooling, opposite flow	 
  117.8000	    34.0800	     1.6827	  4434.1098	   646.9854	  5081.0952	   604.6400	   604.6400	   580.6300	   361.9800	     4.3210	    14.0900	   730.7700	 regenerative cooling, opposite flow	 
  121.0800	    32.2200	     1.8489	  4855.2529	   645.8007	  5501.0537	   613.3400	   613.3400	   587.3700	   360.3300	     4.3260	    14.0600	   732.4900	 regenerative cooling, opposite flow	 
  124.3600	    30.3200	     2.0451	  5349.8212	   639.5383	  5989.3595	   623.1300	   623.1300	   594.8800	   358.6200	     4.3300	    14.0300	   734.2700	 regenerative cooling, opposite flow	 
  127.6400	    28.4300	     2.2754	  5925.5959	   634.4181	  6560.0140	   634.3000	   634.3000	   603.4300	   356.8500	     4.3350	    13.9900	   736.1100	 regenerative cooling, opposite flow	 
  130.9200	    26.5400	     2.5479	  6600.7688	   628.9741	  7229.7429	   647.0900	   647.0900	   613.0900	   355.0100	     4.3390	    13.9500	   738.0200	 regenerative cooling, opposite flow	 
  134.2000	    24.6400	     2.8740	  7400.2217	   620.9395	  8021.1613	   661.7200	   661.7200	   624.0200	   353.1100	     4.3440	    13.9200	   740.0000	 regenerative cooling, opposite flow	 
  137.4800	    22.7500	     3.2672	  8349.6374	   600.5099	  8950.1473	   679.1300	   679.1300	   637.0900	   351.1300	     4.3480	    13.8800	   741.8900	 regenerative cooling, opposite flow	 
  140.7600	    20.8600	     3.7469	  9489.0276	   571.2653	 10060.2928	   699.0700	   699.0700	   651.8500	   349.0800	     4.3530	    13.8500	   743.8400	 regenerative cooling, opposite flow	 
  144.0400	    19.3400	     4.2145	 10576.3649	   527.8293	 11104.1943	   717.2000	   717.2000	   665.1000	   347.0500	     4.3570	    13.8100	   745.7800	 regenerative cooling, opposite flow	 
