Capstone Liq Bi-prop

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    46.5400	     2.6485	  6752.9545	   573.7381	  7326.6926	   690.6900	   690.6900	   653.8400	   505.9600	     4.1340	    58.5200	   175.9600	 regenerative cooling, opposite flow	 
    4.0900	    46.5400	     2.6443	  6718.4763	   779.6726	  7498.1489	   699.7600	   699.7600	   662.1200	   504.6700	     4.1450	    53.7200	   191.6800	 regenerative cooling, opposite flow	 
    8.1800	    46.5400	     2.6403	  6685.2302	   938.3217	  7623.5519	   708.5100	   708.5100	   670.3000	   503.2800	     4.1560	    49.3600	   208.6100	 regenerative cooling, opposite flow	 
   12.2700	    46.5400	     2.6364	  6652.7085	  1051.2638	  7703.9723	   717.0900	   717.0900	   678.4900	   501.7900	     4.1660	    45.3900	   226.8500	 regenerative cooling, opposite flow	 
   16.3600	    46.5400	     2.6325	  6620.3350	  1117.5251	  7737.8601	   725.6200	   725.6200	   686.8200	   500.1700	     4.1750	    41.7700	   246.5700	 regenerative cooling, opposite flow	 
   20.4500	    46.5400	     2.6284	  6586.9541	  1138.7215	  7725.6756	   734.4400	   734.4400	   695.6400	   498.3900	     4.1840	    38.4300	   267.9600	 regenerative cooling, opposite flow	 
   24.5400	    46.5400	     2.6239	  6548.8414	  1136.7088	  7685.5502	   744.6300	   744.6300	   706.0700	   496.4300	     4.1920	    35.3500	   291.2900	 regenerative cooling, opposite flow	 
   28.6300	    46.5400	     2.6181	  6498.9200	  1132.9575	  7631.8775	   758.1800	   758.1800	   720.0400	   494.1900	     4.2000	    32.2300	   319.4600	 regenerative cooling, opposite flow	 
   32.7200	    46.5400	     2.6161	  6471.5314	  1130.8917	  7602.4231	   766.6900	   766.6900	   729.8300	   491.6500	     4.2070	    30.4000	   338.7500	 regenerative cooling, opposite flow	 
   36.8100	    46.5400	     2.6154	  6465.5478	  1130.3127	  7595.8604	   768.3200	   768.3200	   731.5300	   488.9300	     4.2130	    29.9100	   344.3100	 regenerative cooling, opposite flow	 
   40.9000	    46.5400	     2.6147	  6459.5132	  1130.5041	  7590.0172	   769.9900	   769.9900	   733.2600	   486.1800	     4.2200	    29.4300	   349.9600	 regenerative cooling, opposite flow	 
   44.9900	    46.5400	     2.6140	  6453.2568	  1130.0161	  7583.2729	   771.6900	   771.6900	   735.0000	   483.3800	     4.2270	    28.9500	   355.6900	 regenerative cooling, opposite flow	 
   49.0800	    46.5400	     2.6132	  6447.0344	  1129.9308	  7576.9652	   773.4000	   773.4000	   736.7800	   480.5300	     4.2330	    28.4800	   361.5300	 regenerative cooling, opposite flow	 
   53.1700	    46.5400	     2.6125	  6440.6845	  1129.0838	  7569.7683	   775.1400	   775.1400	   738.5800	   477.6400	     4.2400	    28.0200	   367.4600	 regenerative cooling, opposite flow	 
   57.2600	    46.5400	     2.6118	  6434.1138	  1129.2269	  7563.3406	   776.9500	   776.9500	   740.4600	   474.6900	     4.2460	    27.5700	   373.5200	 regenerative cooling, opposite flow	 
   61.3500	    46.5400	     2.6112	  6428.9645	  1128.1744	  7557.1389	   778.4200	   778.4200	   742.0200	   471.7000	     4.2520	    27.1700	   379.0400	 regenerative cooling, opposite flow	 
   65.4400	    46.5400	     2.6108	  6425.0136	  1128.7376	  7553.7512	   779.5100	   779.5100	   743.1600	   468.6700	     4.2590	    26.8300	   383.7500	 regenerative cooling, opposite flow	 
   70.8900	    46.3900	     2.6259	  6457.2955	  1125.3523	  7582.6478	   781.3900	   781.3900	   744.9500	   464.6000	     4.2670	    26.4000	   390.1100	 regenerative cooling, opposite flow	 
   76.3400	    45.9200	     2.6733	  6565.1278	  1123.1809	  7688.3087	   784.5800	   784.5800	   747.7100	   460.4600	     4.2750	    25.9700	   396.5800	 regenerative cooling, opposite flow	 
   81.7800	    45.1300	     2.7559	  6754.8684	  1124.7852	  7879.6536	   789.4000	   789.4000	   751.6400	   456.2100	     4.2840	    25.5400	   403.2200	 regenerative cooling, opposite flow	 
   87.2300	    44.0100	     2.8801	  7040.4163	  1121.9550	  8162.3714	   795.9200	   795.9200	   756.8600	   451.8300	     4.2920	    25.1300	   409.8000	 regenerative cooling, opposite flow	 
   92.6800	    42.5500	     3.0557	  7441.7130	  1121.1013	  8562.8143	   804.9500	   804.9500	   764.0800	   447.2900	     4.3000	    24.7700	   415.8100	 regenerative cooling, opposite flow	 
   98.1300	    40.7300	     3.2987	  7994.8759	  1117.7995	  9112.6754	   816.5800	   816.5800	   773.2000	   442.5500	     4.3090	    24.4000	   422.0800	 regenerative cooling, opposite flow	 
  103.5800	    38.5400	     3.6351	  8754.2205	  1114.7501	  9868.9706	   831.8400	   831.8400	   785.0200	   437.5400	     4.3170	    24.0200	   428.7200	 regenerative cooling, opposite flow	 
  109.0300	    35.9400	     4.1090	  9813.8178	  1104.5233	 10918.3411	   851.5500	   851.5500	   800.0000	   432.2100	     4.3260	    23.1300	   445.1900	 regenerative cooling, opposite flow	 
  114.4800	    32.9100	     4.7957	 11341.7709	  1092.1382	 12433.9091	   874.5700	   874.5700	   816.0300	   426.5800	     4.3350	    20.1000	   512.3500	 regenerative cooling, opposite flow	 
  119.9300	    29.7600	     5.7185	 13363.1250	  1079.4728	 14442.5978	   902.0900	   902.0900	   834.2300	   420.7700	     4.3430	    17.7200	   581.0000	 regenerative cooling, opposite flow	 
  125.3800	    26.6100	     6.9491	 15998.3308	  1061.7847	 17060.1155	   935.5700	   935.5700	   855.4500	   414.8000	     4.3510	    15.8500	   649.8200	 regenerative cooling, opposite flow	 
  130.8200	    23.4700	     8.6280	 19393.8431	  1025.3094	 20419.1525	   987.7800	   987.7800	   891.8000	   408.5700	     4.3580	    15.2200	   676.5300	 regenerative cooling, opposite flow	 
  136.2700	    20.3800	    10.9650	 23839.6053	   941.3956	 24781.0010	  1056.2000	  1056.2000	   939.8800	   402.0400	     4.3650	    15.0400	   684.9100	 regenerative cooling, opposite flow	 
  141.7200	    18.3700	    13.0156	 27478.3869	   794.8642	 28273.2511	  1109.5400	  1109.5400	   976.8800	   395.5700	     4.3710	    14.8600	   693.2200	 regenerative cooling, opposite flow	 
  147.1700	    17.6100	    13.8452	 28746.0756	   647.3073	 29393.3829	  1129.9700	  1129.9700	   992.0300	   389.3000	     4.3770	    14.6900	   700.8000	 regenerative cooling, opposite flow	 
  148.0700	    17.5900	    13.8358	 28682.7003	   631.2754	 29313.9757	  1130.3100	  1130.3100	   992.7600	   388.2700	     4.3780	    14.6800	   701.5800	 regenerative cooling, opposite flow	 
  158.9700	    21.1500	     9.6742	 20667.8974	   233.0210	 20900.9184	  1011.0000	  1011.0000	   912.8600	   376.0200	     4.3910	    14.3900	   715.6500	 regenerative cooling, opposite flow	 
  169.8700	    24.8200	     7.1710	 15637.1159	   162.0337	 15799.1496	   940.7600	   940.7600	   866.4800	   364.3700	     4.4040	    14.1400	   728.1400	 regenerative cooling, opposite flow	 
  180.7700	    28.1500	     5.6699	 12531.0350	   126.5779	 12657.6129	   893.7800	   893.7800	   834.2100	   353.5400	     4.4170	    13.9300	   739.4100	 regenerative cooling, opposite flow	 
  191.6600	    31.1600	     4.6857	 10427.9538	   105.5063	 10533.4602	   865.4700	   865.4700	   815.8500	   343.2900	     4.4310	    13.7400	   749.2500	 regenerative cooling, opposite flow	 
