SLINKY

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    44.9700	     2.8183	  7189.8045	   561.0147	  7750.8192	   689.3400	   689.3400	   650.5300	   507.8900	     4.1150	    67.6200	   152.3000	 regenerative cooling, opposite flow	 
    4.7000	    44.9700	     2.8139	  7153.2735	   762.4463	  7915.7198	   698.3300	   698.3300	   658.7400	   506.4900	     4.1300	    60.7900	   169.4100	 regenerative cooling, opposite flow	 
    9.3900	    44.9700	     2.8097	  7117.9370	   918.0058	  8035.9428	   707.0700	   707.0700	   666.9200	   504.9800	     4.1440	    54.8300	   187.8200	 regenerative cooling, opposite flow	 
   14.0900	    44.9700	     2.8056	  7083.3634	  1027.9630	  8111.3263	   715.6500	   715.6500	   675.1500	   503.3500	     4.1570	    49.6000	   207.6400	 regenerative cooling, opposite flow	 
   18.7900	    44.9700	     2.8014	  7048.7255	  1092.1844	  8140.9100	   724.2500	   724.2500	   683.5900	   501.5800	     4.1680	    44.9600	   229.0600	 regenerative cooling, opposite flow	 
   23.4900	    44.9700	     2.7970	  7012.5884	  1113.6716	  8126.2600	   733.2300	   733.2300	   692.6100	   499.6600	     4.1790	    40.8200	   252.3000	 regenerative cooling, opposite flow	 
   28.1800	    44.9700	     2.7919	  6970.8239	  1110.0598	  8080.8837	   743.6600	   743.6600	   703.2100	   497.5200	     4.1890	    37.0900	   277.6700	 regenerative cooling, opposite flow	 
   32.8800	    44.9700	     2.7853	  6915.4969	  1107.3063	  8022.8033	   757.6000	   757.6000	   717.4500	   495.0800	     4.1980	    33.5500	   306.9700	 regenerative cooling, opposite flow	 
   37.5800	    44.9700	     2.7809	  6865.6382	  1104.9165	  7970.5547	   771.5700	   771.5700	   733.0200	   492.2400	     4.2060	    30.5000	   337.6200	 regenerative cooling, opposite flow	 
   42.2800	    44.9700	     2.7800	  6858.0156	  1105.2115	  7963.2272	   773.5500	   773.5500	   735.0800	   489.0900	     4.2140	    29.9300	   344.0600	 regenerative cooling, opposite flow	 
   46.9700	    44.9700	     2.7791	  6850.1584	  1103.8041	  7953.9625	   775.5400	   775.5400	   737.1100	   485.8800	     4.2210	    29.3700	   350.6200	 regenerative cooling, opposite flow	 
   51.6700	    44.9700	     2.7782	  6842.2614	  1104.3166	  7946.5780	   777.5900	   777.5900	   739.2300	   482.6200	     4.2290	    28.8200	   357.3000	 regenerative cooling, opposite flow	 
   56.3700	    44.9700	     2.7773	  6834.3600	  1103.0512	  7937.4112	   779.6300	   779.6300	   741.3500	   479.2900	     4.2360	    28.2800	   364.1200	 regenerative cooling, opposite flow	 
   61.0600	    44.9700	     2.7764	  6826.2024	  1104.0782	  7930.2806	   781.7700	   781.7700	   743.6100	   475.9000	     4.2440	    27.7500	   371.0800	 regenerative cooling, opposite flow	 
   65.7600	    44.9700	     2.7756	  6818.5798	  1101.9456	  7920.5254	   783.7600	   783.7600	   745.6800	   472.4300	     4.2510	    27.2500	   377.9400	 regenerative cooling, opposite flow	 
   70.4600	    44.9700	     2.7750	  6813.4100	  1102.2602	  7915.6702	   785.0900	   785.0900	   747.0600	   468.9200	     4.2580	    26.8600	   383.4100	 regenerative cooling, opposite flow	 
   75.1600	    44.9700	     2.7744	  6808.7422	  1101.9405	  7910.6826	   786.3300	   786.3300	   748.3600	   465.3700	     4.2660	    26.4800	   388.9300	 regenerative cooling, opposite flow	 
   80.6200	    44.8000	     2.7923	  6846.6402	  1100.3138	  7946.9539	   788.4100	   788.4100	   750.3100	   461.1900	     4.2740	    26.0400	   395.4400	 regenerative cooling, opposite flow	 
   86.0900	    44.3000	     2.8482	  6973.1824	  1102.7962	  8075.9786	   792.1600	   792.1600	   753.5000	   456.9400	     4.2820	    25.6100	   402.0800	 regenerative cooling, opposite flow	 
   91.5600	    43.4400	     2.9467	  7198.0031	  1102.5919	  8300.5950	   797.6200	   797.6200	   757.9400	   452.5700	     4.2900	    25.1900	   408.8200	 regenerative cooling, opposite flow	 
   97.0200	    42.2400	     3.0956	  7537.1681	  1100.1930	  8637.3612	   805.5100	   805.5100	   764.3000	   448.0600	     4.2990	    24.8300	   414.7900	 regenerative cooling, opposite flow	 
  102.4900	    40.6700	     3.3088	  8021.2166	  1100.2005	  9121.4171	   816.0200	   816.0200	   772.6300	   443.3600	     4.3070	    24.4600	   420.9900	 regenerative cooling, opposite flow	 
  107.9600	    38.7000	     3.6088	  8698.9881	  1091.0514	  9790.0394	   829.6600	   829.6600	   783.1800	   438.4400	     4.3160	    24.0900	   427.4900	 regenerative cooling, opposite flow	 
  113.4300	    36.3200	     4.0340	  9649.1592	  1082.4914	 10731.6506	   847.9700	   847.9700	   797.2400	   433.1900	     4.3250	    23.7000	   434.6100	 regenerative cooling, opposite flow	 
  118.8900	    33.4800	     4.6540	 11030.3883	  1076.4223	 12106.8106	   869.5000	   869.5000	   812.4700	   427.6300	     4.3340	    20.6000	   499.8600	 regenerative cooling, opposite flow	 
  124.3600	    30.3200	     5.5342	 12964.8683	  1066.0063	 14030.8746	   896.3700	   896.3700	   830.4200	   421.8400	     4.3420	    18.1200	   568.3400	 regenerative cooling, opposite flow	 
  129.8300	    27.1700	     6.7051	 15484.1201	  1046.8540	 16530.9741	   928.7000	   928.7000	   851.0600	   415.8900	     4.3500	    16.1600	   637.3500	 regenerative cooling, opposite flow	 
  135.2900	    24.0100	     8.2975	 18745.4631	  1020.1908	 19765.6539	   976.8800	   976.8800	   883.9400	   409.7000	     4.3570	    15.2600	   675.0800	 regenerative cooling, opposite flow	 
  140.7600	    20.8600	    10.5405	 23058.3130	   936.8157	 23995.1287	  1043.9500	  1043.9500	   931.2900	   403.1500	     4.3630	    15.0700	   683.4700	 regenerative cooling, opposite flow	 
  146.2300	    18.6100	    12.7416	 27014.7797	   805.1685	 27819.9482	  1102.4300	  1102.4300	   971.9000	   396.6200	     4.3700	    14.8900	   691.8500	 regenerative cooling, opposite flow	 
  151.6900	    17.6600	    13.8047	 28709.7101	   656.1292	 29365.8393	  1129.2100	  1129.2100	   991.4500	   390.3000	     4.3760	    14.7200	   699.6500	 regenerative cooling, opposite flow	 
  153.4700	    17.6000	    13.8282	 28671.9696	   622.0165	 29293.9860	  1129.9500	  1129.9500	   992.4900	   388.2600	     4.3780	    14.6800	   701.5900	 regenerative cooling, opposite flow	 
  164.4100	    21.1700	     9.6593	 20639.9535	   230.5945	 20870.5480	  1010.5200	  1010.5200	   912.5200	   375.9800	     4.3910	    14.3900	   715.7000	 regenerative cooling, opposite flow	 
  175.3400	    24.8500	     7.1563	 15607.7172	   161.7941	 15769.5113	   940.3200	   940.3200	   866.1800	   364.3000	     4.4040	    14.1400	   728.2200	 regenerative cooling, opposite flow	 
  186.2800	    28.1900	     5.6566	 12503.6866	   126.6623	 12630.3489	   893.3300	   893.3300	   833.8900	   353.4400	     4.4170	    13.9300	   739.5100	 regenerative cooling, opposite flow	 
  197.2100	    31.2000	     4.6741	 10403.4568	   104.5159	 10507.9727	   865.0700	   865.0700	   815.5700	   343.1600	     4.4310	    13.7400	   749.3700	 regenerative cooling, opposite flow	 
  208.1400	    33.9100	     3.9984	  8946.6228	    89.9530	  9036.5758	   843.2000	   843.2000	   800.6000	   333.2900	     4.4450	    13.5700	   758.7700	 regenerative cooling, opposite flow	 
