Capstone Liq Bi-prop

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    46.5400	     2.6222	  6531.6715	   567.0443	  7098.7158	   749.5200	   749.5200	   713.9900	   500.8000	     4.2740	    36.2000	   246.3900	 regenerative cooling, opposite flow	 
    4.0900	    46.5400	     2.6156	  6476.5414	   770.0413	  7246.5827	   764.3000	   764.3000	   728.0700	   499.2400	     4.2790	    33.5800	   265.5700	 regenerative cooling, opposite flow	 
    8.1800	    46.5400	     2.6085	  6418.2040	   924.8200	  7343.0240	   779.9400	   779.9400	   743.1700	   497.5200	     4.2850	    31.1000	   286.7100	 regenerative cooling, opposite flow	 
   12.2700	    46.5400	     2.6009	  6354.2890	  1035.3952	  7389.6842	   797.3700	   797.3700	   760.4500	   495.5700	     4.2900	    28.7600	   310.0800	 regenerative cooling, opposite flow	 
   16.3600	    46.5400	     2.5926	  6279.5915	  1098.4919	  7378.0834	   818.3400	   818.3400	   782.0400	   493.3100	     4.2950	    26.1800	   340.7100	 regenerative cooling, opposite flow	 
   20.4500	    46.5400	     2.5913	  6262.2439	  1119.2399	  7381.4837	   823.8100	   823.8100	   788.2000	   490.7700	     4.2990	    25.5000	   349.7600	 regenerative cooling, opposite flow	 
   24.5400	    46.5400	     2.5902	  6253.1036	  1118.6428	  7371.7464	   826.3600	   826.3600	   790.8400	   488.1500	     4.3030	    25.1200	   355.0200	 regenerative cooling, opposite flow	 
   28.6300	    46.5400	     2.5892	  6243.7502	  1119.3878	  7363.1380	   828.9800	   828.9800	   793.5500	   485.5000	     4.3070	    24.7500	   360.3700	 regenerative cooling, opposite flow	 
   32.7200	    46.5400	     2.5881	  6234.4182	  1117.6377	  7352.0559	   831.5600	   831.5600	   796.2000	   482.8000	     4.3120	    24.3800	   365.7900	 regenerative cooling, opposite flow	 
   36.8100	    46.5400	     2.5870	  6224.7867	  1118.4032	  7343.1899	   834.2600	   834.2600	   798.9800	   480.0600	     4.3160	    24.0200	   371.3100	 regenerative cooling, opposite flow	 
   40.9000	    46.5400	     2.5859	  6215.1462	  1117.7300	  7332.8763	   836.9600	   836.9600	   801.7700	   477.2800	     4.3200	    23.6600	   376.9200	 regenerative cooling, opposite flow	 
   44.9900	    46.5400	     2.5847	  6205.2693	  1117.0192	  7322.2885	   839.7200	   839.7200	   804.6100	   474.4400	     4.3240	    23.3100	   382.6400	 regenerative cooling, opposite flow	 
   49.0800	    46.5400	     2.5838	  6197.0029	  1115.5458	  7312.5487	   842.0500	   842.0500	   807.0200	   471.5700	     4.3280	    23.0000	   387.7300	 regenerative cooling, opposite flow	 
   53.1700	    46.5400	     2.5830	  6190.2387	  1114.8690	  7305.1077	   843.9400	   843.9400	   808.9700	   468.6600	     4.3320	    22.7400	   392.1200	 regenerative cooling, opposite flow	 
   57.2600	    46.5400	     2.5823	  6183.6570	  1115.0804	  7298.7373	   845.8000	   845.8000	   810.9100	   465.7400	     4.3360	    22.4900	   396.5400	 regenerative cooling, opposite flow	 
   61.3500	    46.5400	     2.5815	  6177.0544	  1115.6648	  7292.7192	   847.6500	   847.6500	   812.8000	   462.7900	     4.3400	    22.2400	   401.0000	 regenerative cooling, opposite flow	 
   65.4400	    46.5400	     2.5808	  6170.8169	  1114.3882	  7285.2051	   849.3800	   849.3800	   814.5700	   459.8200	     4.3440	    21.9900	   405.4900	 regenerative cooling, opposite flow	 
   70.8900	    46.3900	     2.5953	  6198.0145	  1111.6956	  7309.7101	   852.2800	   852.2800	   817.4100	   455.8100	     4.3490	    21.6700	   411.5500	 regenerative cooling, opposite flow	 
   76.3400	    45.9200	     2.6415	  6296.3900	  1107.6657	  7404.0558	   856.7900	   856.7900	   821.5000	   451.7500	     4.3540	    21.3600	   417.4200	 regenerative cooling, opposite flow	 
   81.7800	    45.1300	     2.7224	  6470.7589	  1108.8847	  7579.6436	   863.5400	   863.5400	   827.4500	   447.6000	     4.3600	    21.1000	   422.7100	 regenerative cooling, opposite flow	 
   87.2300	    44.0100	     2.8442	  6736.0260	  1107.6094	  7843.6354	   872.0600	   872.0600	   834.7800	   443.3300	     4.3650	    20.8300	   428.1300	 regenerative cooling, opposite flow	 
   92.6800	    42.5500	     3.0167	  7111.6710	  1106.0553	  8217.7263	   882.9200	   882.9200	   843.9500	   438.9200	     4.3700	    20.5600	   433.7400	 regenerative cooling, opposite flow	 
   98.1300	    40.7300	     3.2556	  7629.4734	  1102.7755	  8732.2489	   896.7400	   896.7400	   855.4400	   434.3200	     4.3760	    20.2800	   439.7000	 regenerative cooling, opposite flow	 
  103.5800	    38.5400	     3.5876	  8351.5803	  1098.8451	  9450.4253	   912.2400	   912.2400	   867.7000	   429.5300	     4.3810	    18.4900	   482.2200	 regenerative cooling, opposite flow	 
  109.0300	    35.9400	     4.0566	  9369.7326	  1088.6810	 10458.4136	   930.1700	   930.1700	   880.9800	   424.5600	     4.3870	    16.5300	   539.6500	 regenerative cooling, opposite flow	 
  114.4800	    32.9100	     4.7340	 10820.3048	  1075.9858	 11896.2906	   953.8800	   953.8800	   897.9600	   419.3600	     4.3920	    14.8800	   599.2000	 regenerative cooling, opposite flow	 
  119.9300	    29.7600	     5.6436	 12730.0882	  1063.7331	 13793.8213	   983.2200	   983.2200	   918.4500	   413.9900	     4.3970	    13.5200	   659.5800	 regenerative cooling, opposite flow	 
  125.3800	    26.6100	     6.8428	 15102.4498	  1042.6603	 16145.1101	  1030.7000	  1030.7000	   954.8400	   408.3900	     4.4010	    13.1800	   676.8600	 regenerative cooling, opposite flow	 
  130.8200	    23.4700	     8.4871	 18200.4514	  1006.0601	 19206.5115	  1091.0600	  1091.0600	  1000.9300	   402.4600	     4.4060	    13.0300	   684.4600	 regenerative cooling, opposite flow	 
  136.2700	    20.3800	    10.7807	 22287.4802	   921.0702	 23208.5504	  1163.0100	  1163.0100	  1054.1500	   396.2300	     4.4100	    12.8800	   692.4300	 regenerative cooling, opposite flow	 
  141.7200	    18.3700	    12.7895	 25594.8264	   774.2489	 26369.0753	  1219.4900	  1219.4900	  1095.8400	   390.1000	     4.4140	    12.7400	   699.8800	 regenerative cooling, opposite flow	 
  147.1700	    17.6100	    13.5938	 26693.3602	   628.1794	 27321.5396	  1242.5800	  1242.5800	  1114.4500	   384.1600	     4.4190	    12.6200	   706.7500	 regenerative cooling, opposite flow	 
  148.0700	    17.5900	    13.5833	 26631.3057	   610.5270	 27241.8327	  1242.8000	  1242.8000	  1115.0200	   383.1700	     4.4190	    12.6000	   707.5200	 regenerative cooling, opposite flow	 
  158.9700	    21.1500	     9.4812	 19241.5014	   224.7449	 19466.2463	  1117.9500	  1117.9500	  1026.6000	   371.5400	     4.4270	    12.3700	   720.7400	 regenerative cooling, opposite flow	 
  169.8700	    24.8200	     7.0209	 14579.2568	   156.0325	 14735.2893	  1044.8300	  1044.8300	   975.6600	   360.4800	     4.4360	    12.1800	   732.2400	 regenerative cooling, opposite flow	 
  180.7700	    28.1500	     5.5463	 11688.5837	   121.8055	 11810.3892	   996.4200	   996.4200	   940.9400	   350.2200	     4.4450	    12.0100	   742.6900	 regenerative cooling, opposite flow	 
  191.6600	    31.1600	     4.5819	  9737.7805	   101.1894	  9838.9700	   965.6800	   965.6800	   919.4500	   340.5200	     4.4540	    11.8600	   751.9200	 regenerative cooling, opposite flow	 
