SLINKY

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    44.9700	     2.7920	  6968.6193	   555.4725	  7524.0918	   744.5200	   744.5200	   706.9900	   503.0100	     4.2650	    40.8000	   218.5900	 regenerative cooling, opposite flow	 
    4.7000	    44.9700	     2.7854	  6913.4898	   752.7800	  7666.2698	   758.4000	   758.4000	   720.2000	   501.3800	     4.2730	    37.3400	   238.8400	 regenerative cooling, opposite flow	 
    9.3900	    44.9700	     2.7785	  6855.7812	   906.3262	  7762.1074	   772.9900	   772.9900	   734.3400	   499.5700	     4.2790	    34.1700	   261.0500	 regenerative cooling, opposite flow	 
   14.0900	    44.9700	     2.7708	  6792.5083	  1012.7723	  7805.2806	   788.9900	   788.9900	   750.0400	   497.5500	     4.2850	    31.2400	   285.5300	 regenerative cooling, opposite flow	 
   18.7900	    44.9700	     2.7622	  6719.2803	  1076.2340	  7795.5143	   807.8200	   807.8200	   769.0000	   495.2500	     4.2910	    28.4600	   313.4000	 regenerative cooling, opposite flow	 
   23.4900	    44.9700	     2.7550	  6646.6731	  1093.8070	  7740.4801	   827.8200	   827.8200	   790.5600	   492.5500	     4.2970	    25.7600	   346.2400	 regenerative cooling, opposite flow	 
   28.1800	    44.9700	     2.7537	  6635.2065	  1093.1838	  7728.3904	   830.8400	   830.8400	   793.6800	   489.5300	     4.3020	    25.3200	   352.3000	 regenerative cooling, opposite flow	 
   32.8800	    44.9700	     2.7523	  6623.3840	  1093.0807	  7716.4647	   833.9200	   833.9200	   796.8400	   486.4700	     4.3060	    24.8800	   358.4600	 regenerative cooling, opposite flow	 
   37.5800	    44.9700	     2.7509	  6611.5668	  1092.2294	  7703.7962	   837.0200	   837.0200	   800.0200	   483.3500	     4.3110	    24.4500	   364.7400	 regenerative cooling, opposite flow	 
   42.2800	    44.9700	     2.7495	  6599.6648	  1090.3621	  7690.0269	   840.1200	   840.1200	   803.2100	   480.1700	     4.3160	    24.0300	   371.1300	 regenerative cooling, opposite flow	 
   46.9700	    44.9700	     2.7481	  6587.3378	  1090.0433	  7677.3810	   843.3500	   843.3500	   806.5300	   476.9300	     4.3210	    23.6200	   377.6400	 regenerative cooling, opposite flow	 
   51.6700	    44.9700	     2.7467	  6574.9892	  1090.3908	  7665.3800	   846.6500	   846.6500	   809.9700	   473.6300	     4.3250	    23.2100	   384.3200	 regenerative cooling, opposite flow	 
   56.3700	    44.9700	     2.7456	  6565.5518	  1089.2775	  7654.8294	   849.1300	   849.1300	   812.5200	   470.2700	     4.3300	    22.8900	   389.7200	 regenerative cooling, opposite flow	 
   61.0600	    44.9700	     2.7447	  6557.1681	  1089.1535	  7646.3216	   851.3700	   851.3700	   814.8400	   466.8900	     4.3350	    22.5900	   394.8300	 regenerative cooling, opposite flow	 
   65.7600	    44.9700	     2.7437	  6548.9901	  1088.4647	  7637.4547	   853.5200	   853.5200	   817.0700	   463.4700	     4.3390	    22.3000	   399.9900	 regenerative cooling, opposite flow	 
   70.4600	    44.9700	     2.7428	  6540.9875	  1088.8861	  7629.8736	   855.6500	   855.6500	   819.2800	   460.0200	     4.3440	    22.0100	   405.2100	 regenerative cooling, opposite flow	 
   75.1600	    44.9700	     2.7419	  6533.2451	  1087.6019	  7620.8469	   857.6800	   857.6800	   821.3500	   456.5400	     4.3480	    21.7300	   410.4700	 regenerative cooling, opposite flow	 
   80.6200	    44.8000	     2.7590	  6565.1250	  1086.1368	  7651.2618	   860.9000	   860.9000	   824.4600	   452.4400	     4.3540	    21.4100	   416.5500	 regenerative cooling, opposite flow	 
   86.0900	    44.3000	     2.8135	  6679.2377	  1087.6343	  7766.8720	   866.4300	   866.4300	   829.4900	   448.2700	     4.3590	    21.1400	   421.8500	 regenerative cooling, opposite flow	 
   91.5600	    43.4400	     2.9099	  6886.6364	  1087.2810	  7973.9174	   873.7800	   873.7800	   835.9300	   444.0200	     4.3640	    20.8700	   427.2600	 regenerative cooling, opposite flow	 
   97.0200	    42.2400	     3.0561	  7203.1585	  1084.8581	  8288.0167	   883.3700	   883.3700	   844.0700	   439.6400	     4.3690	    20.6100	   432.8300	 regenerative cooling, opposite flow	 
  102.4900	    40.6700	     3.2656	  7655.6797	  1083.5776	  8739.2572	   895.9000	   895.9000	   854.5400	   435.0900	     4.3750	    20.3300	   438.6900	 regenerative cooling, opposite flow	 
  107.9600	    38.7000	     3.5616	  8298.0294	  1075.8892	  9373.9186	   910.2800	   910.2800	   866.0700	   430.3600	     4.3800	    18.8700	   472.6200	 regenerative cooling, opposite flow	 
  113.4300	    36.3200	     3.9825	  9212.6575	  1066.8156	 10279.4732	   926.6400	   926.6400	   878.2700	   425.4500	     4.3860	    16.8500	   529.3200	 regenerative cooling, opposite flow	 
  118.8900	    33.4800	     4.5943	 10526.2920	  1060.9458	 11587.2378	   948.4800	   948.4800	   894.0200	   420.3200	     4.3910	    15.1600	   588.2200	 regenerative cooling, opposite flow	 
  124.3600	    30.3200	     5.4621	 12355.2663	  1050.1280	 13405.3943	   977.0200	   977.0200	   914.0700	   414.9700	     4.3960	    13.7500	   648.5700	 regenerative cooling, opposite flow	 
  129.8300	    27.1700	     6.6056	 14646.6845	  1030.2540	 15676.9385	  1020.7300	  1020.7300	   947.0600	   409.4100	     4.4000	    13.2000	   675.5600	 regenerative cooling, opposite flow	 
  135.2900	    24.0100	     8.1627	 17604.2903	  1000.5581	 18604.8484	  1079.3800	  1079.3800	   992.0400	   403.5200	     4.4050	    13.0600	   683.0900	 regenerative cooling, opposite flow	 
  140.7600	    20.8600	    10.3643	 21571.4758	   916.2974	 22487.7732	  1150.2200	  1150.2200	  1044.7400	   397.2800	     4.4090	    12.9100	   691.0900	 regenerative cooling, opposite flow	 
  146.2300	    18.6100	    12.5218	 25181.1269	   784.0934	 25965.2203	  1211.6500	  1211.6500	  1089.8600	   391.0800	     4.4140	    12.7600	   698.7600	 regenerative cooling, opposite flow	 
  151.6900	    17.6600	    13.5568	 26679.3098	   636.3730	 27315.6827	  1240.9500	  1240.9500	  1112.8400	   385.1000	     4.4180	    12.6400	   705.6600	 regenerative cooling, opposite flow	 
  153.4700	    17.6000	    13.5761	 26622.4874	   601.7643	 27224.2518	  1242.4200	  1242.4200	  1114.7400	   383.1700	     4.4190	    12.6100	   707.5200	 regenerative cooling, opposite flow	 
  164.4100	    21.1700	     9.4666	 19215.4787	   222.7536	 19438.2323	  1117.4800	  1117.4800	  1026.2600	   371.4900	     4.4270	    12.3700	   720.7800	 regenerative cooling, opposite flow	 
  175.3400	    24.8500	     7.0066	 14552.1549	   155.9587	 14708.1136	  1044.3600	  1044.3600	   975.3200	   360.4100	     4.4360	    12.1800	   732.3200	 regenerative cooling, opposite flow	 
  186.2800	    28.1900	     5.5332	 11662.6527	   121.7317	 11784.3844	   996.0200	   996.0200	   940.6600	   350.1200	     4.4450	    12.0100	   742.7800	 regenerative cooling, opposite flow	 
  197.2100	    31.2000	     4.5706	  9715.1287	   100.3632	  9815.4919	   965.2400	   965.2400	   919.1200	   340.4000	     4.4540	    11.8600	   752.0400	 regenerative cooling, opposite flow	 
  208.1400	    33.9100	     3.9069	  8350.8077	    85.9928	  8436.8005	   943.3100	   943.3100	   903.6400	   331.0900	     4.4630	    11.7200	   760.7800	 regenerative cooling, opposite flow	 
