SLINKY

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    44.9700	     2.7866	  6923.4745	   154.1775	  7077.6520	   755.8400	   755.8400	   720.3600	   498.5200	     4.2710	    32.6300	   273.3400	 regenerative cooling, opposite flow	 
    4.7000	    44.9700	     2.7803	  6870.6297	   208.7557	  7079.3854	   769.2300	   769.2300	   733.7900	   496.5700	     4.2770	    30.0300	   296.9600	 regenerative cooling, opposite flow	 
    9.3900	    44.9700	     2.7725	  6804.4328	   248.7991	  7053.2319	   786.1800	   786.1800	   751.0000	   494.3300	     4.2830	    27.4100	   325.4100	 regenerative cooling, opposite flow	 
   14.0900	    44.9700	     2.7686	  6760.7933	   277.8668	  7038.6601	   798.4800	   798.4800	   764.5100	   491.7700	     4.2880	    25.7200	   346.7800	 regenerative cooling, opposite flow	 
   18.7900	    44.9700	     2.7673	  6749.3929	   295.8678	  7045.2607	   801.4500	   801.4500	   767.5000	   489.0100	     4.2930	    25.3100	   352.3600	 regenerative cooling, opposite flow	 
   23.4900	    44.9700	     2.7661	  6739.4818	   300.1563	  7039.6381	   803.9800	   803.9800	   770.0600	   486.2100	     4.2980	    24.9100	   358.0300	 regenerative cooling, opposite flow	 
   28.1800	    44.9700	     2.7651	  6730.3857	   299.7844	  7030.1701	   806.3400	   806.3400	   772.4900	   483.3500	     4.3020	    24.5200	   363.8000	 regenerative cooling, opposite flow	 
   32.8800	    44.9700	     2.7640	  6721.0041	   300.1345	  7021.1386	   808.7800	   808.7800	   774.9900	   480.4500	     4.3070	    24.1300	   369.6700	 regenerative cooling, opposite flow	 
   37.5800	    44.9700	     2.7629	  6711.5845	   299.2712	  7010.8556	   811.2100	   811.2100	   777.4900	   477.5000	     4.3120	    23.7400	   375.6400	 regenerative cooling, opposite flow	 
   42.2800	    44.9700	     2.7618	  6701.9999	   298.9361	  7000.9359	   813.7200	   813.7200	   780.0800	   474.5000	     4.3170	    23.3600	   381.7400	 regenerative cooling, opposite flow	 
   46.9700	    44.9700	     2.7610	  6694.1626	   299.7742	  6993.9368	   815.8300	   815.8300	   782.3300	   471.4500	     4.3210	    23.0400	   387.1600	 regenerative cooling, opposite flow	 
   51.6700	    44.9700	     2.7602	  6687.8781	   299.1063	  6986.9844	   817.4800	   817.4800	   784.0300	   468.3600	     4.3260	    22.7600	   391.8500	 regenerative cooling, opposite flow	 
   56.3700	    44.9700	     2.7595	  6681.6842	   299.2812	  6980.9654	   819.1000	   819.1000	   785.7000	   465.2500	     4.3310	    22.4900	   396.5800	 regenerative cooling, opposite flow	 
   61.0600	    44.9700	     2.7588	  6675.6993	   298.5860	  6974.2852	   820.6400	   820.6400	   787.2900	   462.1100	     4.3350	    22.2200	   401.3600	 regenerative cooling, opposite flow	 
   65.7600	    44.9700	     2.7582	  6669.9508	   298.4272	  6968.3780	   822.1500	   822.1500	   788.8500	   458.9500	     4.3400	    21.9600	   406.1900	 regenerative cooling, opposite flow	 
   70.4600	    44.9700	     2.7575	  6664.4072	   297.2842	  6961.6914	   823.5900	   823.5900	   790.3200	   455.7600	     4.3440	    21.7000	   411.0600	 regenerative cooling, opposite flow	 
   75.1600	    44.9700	     2.7568	  6658.5626	   297.4058	  6955.9684	   825.1000	   825.1000	   791.8700	   452.5400	     4.3490	    21.4500	   415.8700	 regenerative cooling, opposite flow	 
   80.6200	    44.8000	     2.7741	  6692.1069	   296.1979	  6988.3049	   828.0900	   828.0900	   794.7500	   448.7600	     4.3540	    21.2000	   420.7200	 regenerative cooling, opposite flow	 
   86.0900	    44.3000	     2.8291	  6810.2493	   297.4209	  7107.6702	   833.1900	   833.1900	   799.3300	   444.9200	     4.3590	    20.9500	   425.6500	 regenerative cooling, opposite flow	 
   91.5600	    43.4400	     2.9261	  7022.3874	   296.4963	  7318.8837	   840.4400	   840.4400	   805.6500	   441.0000	     4.3650	    20.7100	   430.7000	 regenerative cooling, opposite flow	 
   97.0200	    42.2400	     3.0729	  7344.1509	   295.0452	  7639.1960	   850.3500	   850.3500	   814.0900	   436.9500	     4.3700	    20.4600	   435.9100	 regenerative cooling, opposite flow	 
  102.4900	    40.6700	     3.2833	  7803.9755	   292.8291	  8096.8046	   863.3500	   863.3500	   825.0300	   432.7200	     4.3750	    20.0500	   444.7600	 regenerative cooling, opposite flow	 
  107.9600	    38.7000	     3.5809	  8459.8972	   291.0206	  8750.9178	   877.6300	   877.6300	   836.3800	   428.3400	     4.3810	    17.9900	   495.7500	 regenerative cooling, opposite flow	 
  113.4300	    36.3200	     4.0028	  9383.6955	   287.5403	  9671.2358	   895.6700	   895.6700	   850.1700	   423.7800	     4.3860	    16.2600	   548.4100	 regenerative cooling, opposite flow	 
  118.8900	    33.4800	     4.6158	 10707.5158	   284.8494	 10992.3652	   919.8800	   919.8800	   868.2100	   418.9600	     4.3910	    14.7700	   603.6800	 regenerative cooling, opposite flow	 
  124.3600	    30.3200	     5.4847	 12547.3893	   278.5830	 12825.9723	   951.3300	   951.3300	   891.0400	   413.8900	     4.3960	    13.5000	   660.7000	 regenerative cooling, opposite flow	 
  129.8300	    27.1700	     6.6277	 14833.0610	   272.3904	 15105.4513	   999.9700	   999.9700	   928.9700	   408.5500	     4.4000	    13.1800	   676.6600	 regenerative cooling, opposite flow	 
  135.2900	    24.0100	     8.1864	 17804.2944	   265.6817	 18069.9761	  1061.1900	  1061.1900	   976.3500	   402.8400	     4.4050	    13.0400	   683.9600	 regenerative cooling, opposite flow	 
  140.7600	    20.8600	    10.3881	 21773.5419	   245.0190	 22018.5609	  1135.5500	  1135.5500	  1032.2500	   396.7400	     4.4090	    12.8900	   691.7800	 regenerative cooling, opposite flow	 
  146.2300	    18.6100	    12.5435	 25362.2025	   215.9006	 25578.1031	  1200.6900	  1200.6900	  1080.7200	   390.6500	     4.4140	    12.7500	   699.2600	 regenerative cooling, opposite flow	 
  151.6900	    17.6600	    13.5749	 26828.1836	   182.8255	 27011.0090	  1232.6100	  1232.6100	  1105.9300	   384.7400	     4.4180	    12.6300	   706.0700	 regenerative cooling, opposite flow	 
  153.4700	    17.6000	    13.5934	 26763.9328	   173.8458	 26937.7785	  1234.5100	  1234.5100	  1108.1600	   382.8200	     4.4190	    12.6000	   707.9200	 regenerative cooling, opposite flow	 
  164.4100	    21.1700	     9.4717	 19253.8261	    83.1111	 19336.9372	  1114.5400	  1114.5400	  1023.8000	   371.2300	     4.4270	    12.3700	   721.0600	 regenerative cooling, opposite flow	 
  175.3400	    24.8500	     7.0101	 14577.1666	    63.5656	 14640.7322	  1041.8500	  1041.8500	   973.1200	   360.1900	     4.4360	    12.1800	   732.5500	 regenerative cooling, opposite flow	 
  186.2800	    28.1900	     5.5358	 11680.3017	    52.2971	 11732.5988	   993.8100	   993.8100	   938.6900	   349.9400	     4.4450	    12.0000	   742.9600	 regenerative cooling, opposite flow	 
  197.2100	    31.2000	     4.5728	  9729.7895	    44.8469	  9774.6364	   963.0600	   963.0600	   917.1300	   340.2500	     4.4540	    11.8600	   752.1900	 regenerative cooling, opposite flow	 
  208.1400	    33.9100	     3.9087	  8362.7624	    39.7417	  8402.5041	   941.2600	   941.2600	   901.7500	   330.9700	     4.4630	    11.7200	   760.8900	 regenerative cooling, opposite flow	 
  219.0800	    36.3200	     3.4282	  7345.3351	    35.6866	  7381.0217	   930.2000	   930.2000	   895.5000	   322.0100	     4.4730	    11.6000	   768.8000	 regenerative cooling, opposite flow	 
