SLINKY

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    44.9700	     2.7776	  6848.7070	   552.1326	  7400.8396	   774.7600	   774.7600	   737.7900	   505.9400	     4.2200	    17.1100	   180.5800	 regenerative cooling, opposite flow	 
    4.7000	    44.9700	     2.7709	  6792.4202	   748.9122	  7541.3324	   789.0500	   789.0500	   751.3800	   504.5200	     4.2210	    15.6300	   197.6400	 regenerative cooling, opposite flow	 
    9.3900	    44.9700	     2.7644	  6737.4200	   901.5209	  7638.9409	   803.1700	   803.1700	   765.0900	   502.9900	     4.2220	    14.3000	   216.0700	 regenerative cooling, opposite flow	 
   14.0900	    44.9700	     2.7578	  6682.1822	  1008.5587	  7690.7409	   817.3700	   817.3700	   779.0400	   501.3200	     4.2220	    13.0900	   236.0200	 regenerative cooling, opposite flow	 
   18.7900	    44.9700	     2.7509	  6625.0267	  1070.1851	  7695.2118	   832.0600	   832.0600	   793.6400	   499.4900	     4.2230	    11.9900	   257.7200	 regenerative cooling, opposite flow	 
   23.4900	    44.9700	     2.7434	  6563.3827	  1088.6961	  7652.0788	   848.0100	   848.0100	   809.7300	   497.4700	     4.2230	    10.9800	   281.4100	 regenerative cooling, opposite flow	 
   28.1800	    44.9700	     2.7345	  6488.6082	  1084.9237	  7573.5319	   867.5600	   867.5600	   829.6400	   495.1800	     4.2240	    10.0200	   308.2500	 regenerative cooling, opposite flow	 
   32.8800	    44.9700	     2.7272	  6411.9270	  1081.7949	  7493.7219	   889.3300	   889.3300	   853.3600	   492.5200	     4.2240	     9.1200	   338.9500	 regenerative cooling, opposite flow	 
   37.5800	    44.9700	     2.7255	  6397.3195	  1080.1627	  7477.4822	   893.1800	   893.1800	   857.2800	   489.5700	     4.2250	     8.9700	   344.3000	 regenerative cooling, opposite flow	 
   42.2800	    44.9700	     2.7238	  6382.8316	  1079.7325	  7462.5641	   897.0700	   897.0700	   861.3000	   486.5800	     4.2250	     8.8300	   349.7400	 regenerative cooling, opposite flow	 
   46.9700	    44.9700	     2.7221	  6368.0295	  1078.6589	  7446.6884	   901.0100	   901.0100	   865.3200	   483.5300	     4.2250	     8.7000	   355.2700	 regenerative cooling, opposite flow	 
   51.6700	    44.9700	     2.7203	  6353.0772	  1078.7610	  7431.8382	   905.0200	   905.0200	   869.4500	   480.4300	     4.2260	     8.5600	   360.9000	 regenerative cooling, opposite flow	 
   56.3700	    44.9700	     2.7186	  6338.0247	  1077.8160	  7415.8407	   909.0600	   909.0600	   873.6000	   477.2800	     4.2260	     8.4300	   366.6300	 regenerative cooling, opposite flow	 
   61.0600	    44.9700	     2.7168	  6322.6706	  1076.7475	  7399.4182	   913.1800	   913.1800	   877.8300	   474.0600	     4.2270	     8.2900	   372.5000	 regenerative cooling, opposite flow	 
   65.7600	    44.9700	     2.7154	  6310.2678	  1075.9793	  7386.2471	   916.5700	   916.5700	   881.3600	   470.7900	     4.2270	     8.1900	   377.3800	 regenerative cooling, opposite flow	 
   70.4600	    44.9700	     2.7142	  6299.1143	  1076.5546	  7375.6689	   919.6100	   919.6100	   884.5100	   467.4900	     4.2270	     8.0900	   381.7500	 regenerative cooling, opposite flow	 
   75.1600	    44.9700	     2.7130	  6288.3790	  1075.6483	  7364.0273	   922.5100	   922.5100	   887.5000	   464.1600	     4.2280	     8.0000	   386.1800	 regenerative cooling, opposite flow	 
   78.4400	    44.9100	     2.7185	  6295.3962	  1079.4630	  7374.8592	   924.7000	   924.7000	   889.6200	   461.8200	     4.2280	     7.9600	   389.2900	 regenerative cooling, opposite flow	 
   81.7200	    44.7300	     2.7377	  6335.3418	  1074.7419	  7410.0837	   926.3300	   926.3300	   891.1000	   459.4600	     4.2280	     7.9600	   392.4300	 regenerative cooling, opposite flow	 
   85.0000	    44.4200	     2.7707	  6406.1311	  1078.7158	  7484.8469	   928.2800	   928.2800	   892.7200	   457.0600	     4.2290	     8.0100	   395.6000	 regenerative cooling, opposite flow	 
   88.2800	    44.0000	     2.8187	  6513.5155	  1071.2864	  7584.8019	   929.5500	   929.5500	   893.5600	   454.6300	     4.2290	     8.1100	   398.8300	 regenerative cooling, opposite flow	 
   91.5600	    43.4400	     2.8825	  6655.3006	  1075.5463	  7730.8469	   931.5000	   931.5000	   894.7900	   452.1600	     4.2290	     8.2600	   401.9200	 regenerative cooling, opposite flow	 
   94.8400	    42.7700	     2.9646	  6839.5886	  1073.3771	  7912.9658	   933.2500	   933.2500	   895.7200	   449.6400	     4.2300	     8.4800	   404.6800	 regenerative cooling, opposite flow	 
   98.1200	    41.9600	     3.0674	  7070.6194	  1077.4238	  8148.0431	   935.2300	   935.2300	   896.6300	   447.0600	     4.2300	     8.7600	   407.5100	 regenerative cooling, opposite flow	 
  101.4000	    41.0100	     3.1949	  7359.4673	  1072.4292	  8431.8965	   936.7500	   936.7500	   896.8600	   444.4100	     4.2300	     9.1200	   410.4200	 regenerative cooling, opposite flow	 
  104.6800	    39.9300	     3.3516	  7715.1455	  1066.3002	  8781.4457	   938.2800	   938.2800	   896.7500	   441.6800	     4.2310	     9.5800	   413.4300	 regenerative cooling, opposite flow	 
  107.9600	    38.7000	     3.5441	  8150.6433	  1070.3456	  9220.9890	   940.3300	   940.3300	   896.7900	   438.8600	     4.2310	    10.1500	   416.5500	 regenerative cooling, opposite flow	 
  111.2400	    37.3200	     3.7816	  8689.2581	  1066.2237	  9755.4818	   942.2500	   942.2500	   896.2000	   435.9100	     4.2320	    10.8600	   419.8100	 regenerative cooling, opposite flow	 
  114.5200	    35.7900	     4.0774	  9359.8676	  1061.5644	 10421.4320	   944.3300	   944.3300	   895.2700	   432.8300	     4.2330	    11.7100	   425.5300	 regenerative cooling, opposite flow	 
  117.8000	    34.0800	     4.4510	 10214.7688	  1061.3685	 11276.1373	   944.7600	   944.7600	   891.7600	   429.6200	     4.2340	    11.8700	   465.4200	 regenerative cooling, opposite flow	 
  121.0800	    32.2200	     4.9247	 11300.2525	  1061.6256	 12361.8781	   944.7900	   944.7900	   886.7200	   426.3000	     4.2350	    12.2800	   506.6500	 regenerative cooling, opposite flow	 
  124.3600	    30.3200	     5.4910	 12599.0960	  1053.8850	 13652.9810	   944.5400	   944.5400	   880.4400	   422.8800	     4.2370	    12.8900	   548.9400	 regenerative cooling, opposite flow	 
  127.6400	    28.4300	     6.1647	 14140.6817	  1048.4427	 15189.1245	   944.6900	   944.6900	   873.4300	   419.3900	     4.2390	    13.7100	   592.1700	 regenerative cooling, opposite flow	 
  130.9200	    26.5400	     6.9744	 15986.6340	  1040.8482	 17027.4822	   945.5600	   945.5600	   865.6200	   415.8100	     4.2420	    14.7900	   636.3200	 regenerative cooling, opposite flow	 
  134.2000	    24.6400	     7.9566	 18196.8066	  1030.8514	 19227.6580	   949.5800	   949.5800	   859.1300	   412.1100	     4.2460	    16.4300	   671.8000	 regenerative cooling, opposite flow	 
  137.4800	    22.7500	     9.1603	 20826.4065	   998.5936	 21825.0001	   961.1900	   961.1900	   858.6100	   408.2300	     4.2520	    19.4000	   676.7800	 regenerative cooling, opposite flow	 
  140.7600	    20.8600	    10.6600	 24060.8418	   950.7301	 25011.5719	   974.4500	   974.4500	   856.9700	   404.1400	     4.2610	    23.2700	   682.0400	 regenerative cooling, opposite flow	 
