SLINKY

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    44.9700	     2.8017	  7051.1089	   557.5736	  7608.6825	   723.7200	   723.7200	   685.6100	   507.8100	     4.1320	    37.6100	   154.0200	 regenerative cooling, opposite flow	 
    4.7000	    44.9700	     2.7963	  7006.1839	   756.7651	  7762.9490	   734.9200	   734.9200	   696.0800	   506.4300	     4.1360	    34.0100	   170.3400	 regenerative cooling, opposite flow	 
    9.3900	    44.9700	     2.7911	  6962.5536	   910.0849	  7872.6384	   745.8400	   745.8400	   706.4600	   504.9500	     4.1400	    30.8300	   187.8800	 regenerative cooling, opposite flow	 
   14.0900	    44.9700	     2.7860	  6920.0660	  1018.9125	  7938.9785	   756.5500	   756.5500	   716.8800	   503.3500	     4.1430	    28.0200	   206.7600	 regenerative cooling, opposite flow	 
   18.7900	    44.9700	     2.7809	  6877.5244	  1084.4488	  7961.9733	   767.3100	   767.3100	   727.5500	   501.6200	     4.1460	    25.5100	   227.1300	 regenerative cooling, opposite flow	 
   23.4900	    44.9700	     2.7756	  6833.6463	  1102.9552	  7936.6015	   778.3900	   778.3900	   738.6900	   499.7200	     4.1480	    23.2500	   249.2100	 regenerative cooling, opposite flow	 
   28.1800	    44.9700	     2.7696	  6783.2547	  1101.3465	  7884.6012	   791.1900	   791.1900	   751.7100	   497.6300	     4.1510	    21.2000	   273.2600	 regenerative cooling, opposite flow	 
   32.8800	    44.9700	     2.7618	  6718.1509	  1097.5359	  7815.6867	   807.8500	   807.8500	   768.6800	   495.2600	     4.1530	    19.2800	   300.5100	 regenerative cooling, opposite flow	 
   37.5800	    44.9700	     2.7556	  6651.8819	  1094.6948	  7746.5767	   826.4500	   826.4500	   789.1200	   492.5000	     4.1550	    17.4500	   331.9800	 regenerative cooling, opposite flow	 
   42.2800	    44.9700	     2.7543	  6640.5904	  1093.1264	  7733.7168	   829.3900	   829.3900	   792.1600	   489.4200	     4.1570	    17.1600	   337.6100	 regenerative cooling, opposite flow	 
   46.9700	    44.9700	     2.7529	  6629.0610	  1092.6217	  7721.6828	   832.4100	   832.4100	   795.2500	   486.2900	     4.1590	    16.8700	   343.3400	 regenerative cooling, opposite flow	 
   51.6700	    44.9700	     2.7515	  6617.3570	  1091.9800	  7709.3370	   835.4600	   835.4600	   798.3800	   483.1100	     4.1610	    16.5900	   349.1700	 regenerative cooling, opposite flow	 
   56.3700	    44.9700	     2.7502	  6605.6321	  1092.6159	  7698.2480	   838.5700	   838.5700	   801.6200	   479.8600	     4.1630	    16.3100	   355.1100	 regenerative cooling, opposite flow	 
   61.0600	    44.9700	     2.7488	  6593.5636	  1091.0408	  7684.6044	   841.7100	   841.7100	   804.8200	   476.5600	     4.1650	    16.0400	   361.1700	 regenerative cooling, opposite flow	 
   65.7600	    44.9700	     2.7475	  6581.5955	  1090.4599	  7672.0554	   844.9100	   844.9100	   808.1700	   473.1800	     4.1670	    15.7700	   367.3900	 regenerative cooling, opposite flow	 
   70.4600	    44.9700	     2.7465	  6573.0314	  1090.5160	  7663.5474	   847.2000	   847.2000	   810.5700	   469.7500	     4.1690	    15.5700	   372.1100	 regenerative cooling, opposite flow	 
   75.1600	    44.9700	     2.7456	  6564.7631	  1090.3910	  7655.1541	   849.3900	   849.3900	   812.8400	   466.2900	     4.1700	    15.3700	   376.8000	 regenerative cooling, opposite flow	 
   78.4400	    44.9100	     2.7514	  6574.1376	  1093.2538	  7667.3914	   851.0700	   851.0700	   814.4400	   463.8600	     4.1720	    15.2700	   380.0900	 regenerative cooling, opposite flow	 
   81.7200	    44.7300	     2.7710	  6616.9172	  1089.0279	  7705.9451	   852.4800	   852.4800	   815.6900	   461.4000	     4.1730	    15.2400	   383.4100	 regenerative cooling, opposite flow	 
   85.0000	    44.4200	     2.8044	  6691.5501	  1092.9993	  7784.5494	   854.2900	   854.2900	   817.1600	   458.9100	     4.1740	    15.2800	   386.7800	 regenerative cooling, opposite flow	 
   88.2800	    44.0000	     2.8529	  6803.2283	  1086.1819	  7889.4102	   855.7200	   855.7200	   818.1400	   456.3900	     4.1760	    15.3900	   390.2000	 regenerative cooling, opposite flow	 
   91.5600	    43.4400	     2.9174	  6951.1565	  1088.9631	  8040.1196	   857.7300	   857.7300	   819.4000	   453.8100	     4.1770	    15.5700	   393.7000	 regenerative cooling, opposite flow	 
   94.8400	    42.7700	     3.0003	  7142.0214	  1088.0311	  8230.0525	   859.9100	   859.9100	   820.7300	   451.1900	     4.1790	    15.8500	   396.8700	 regenerative cooling, opposite flow	 
   98.1200	    41.9600	     3.1040	  7380.6175	  1091.6987	  8472.3162	   862.5500	   862.5500	   822.2700	   448.5000	     4.1800	    16.2200	   399.9200	 regenerative cooling, opposite flow	 
  101.4000	    41.0100	     3.2324	  7677.6925	  1086.2632	  8763.9557	   865.0600	   865.0600	   823.4300	   445.7400	     4.1820	    16.7000	   403.0700	 regenerative cooling, opposite flow	 
  104.6800	    39.9300	     3.3904	  8043.2063	  1080.2935	  9123.4998	   867.8500	   867.8500	   824.6000	   442.9000	     4.1840	    17.3000	   406.3400	 regenerative cooling, opposite flow	 
  107.9600	    38.7000	     3.5841	  8489.4454	  1084.2432	  9573.6887	   871.4700	   871.4700	   826.1300	   439.9500	     4.1860	    18.0300	   409.7500	 regenerative cooling, opposite flow	 
  111.2400	    37.3200	     3.8231	  9040.3208	  1080.2045	 10120.5254	   875.3800	   875.3800	   827.5100	   436.8900	     4.1890	    18.9400	   413.3400	 regenerative cooling, opposite flow	 
  114.5200	    35.7900	     4.1202	  9723.2608	  1074.1281	 10797.3889	   880.0100	   880.0100	   829.0200	   433.6900	     4.1920	    20.0500	   417.2000	 regenerative cooling, opposite flow	 
  117.8000	    34.0800	     4.4951	 10588.5298	  1072.3539	 11660.8837	   884.1300	   884.1300	   829.1900	   430.3500	     4.1960	    19.9600	   452.2300	 regenerative cooling, opposite flow	 
  121.0800	    32.2200	     4.9704	 11686.4686	  1072.7178	 12759.1865	   888.1900	   888.1900	   828.1800	   426.9000	     4.2000	    19.8400	   496.1500	 regenerative cooling, opposite flow	 
  124.3600	    30.3200	     5.5378	 12994.8992	  1064.1618	 14059.0610	   892.4700	   892.4700	   826.3900	   423.3600	     4.2050	    19.9600	   540.9300	 regenerative cooling, opposite flow	 
  127.6400	    28.4300	     6.2121	 14541.5688	  1056.3903	 15597.9591	   897.6600	   897.6600	   824.3800	   419.7600	     4.2110	    20.2800	   586.3900	 regenerative cooling, opposite flow	 
  130.9200	    26.5400	     7.0217	 16385.1225	  1049.4996	 17434.6221	   904.2400	   904.2400	   822.3400	   416.0800	     4.2180	    20.8200	   632.5100	 regenerative cooling, opposite flow	 
  134.2000	    24.6400	     8.0027	 18584.9490	  1037.4016	 19622.3505	   914.2300	   914.2300	   821.8800	   412.3000	     4.2270	    21.8300	   671.5100	 regenerative cooling, opposite flow	 
  137.4800	    22.7500	     9.2023	 21179.8956	  1002.7844	 22182.6799	   933.1500	   933.1500	   828.8500	   408.3500	     4.2380	    24.2600	   676.6000	 regenerative cooling, opposite flow	 
  140.7600	    20.8600	    10.6939	 24344.1116	   955.0936	 25299.2052	   955.1100	   955.1100	   836.2800	   404.2100	     4.2520	    27.1300	   681.9400	 regenerative cooling, opposite flow	 
